"Date","Review","Star","Like","Version"
"2022-09","오늘 업데이트 후 작은화면에서 큰화면으로 바꿀때나 큰화면에서 작은화면으로 변경 시 버벅거리고 버튼하나 누를때마다 너무 버벅거려요","1","0","8.2.0"
"2022-09","아니 초고화질인데 갑자기 화질이 왜 구려졌나요 ?","1","0","8.1.4.1"
"2022-09","드디어 한국드라마에도 자막이 생기기 시작했네요 가끔 발음 뭉개져서 못 알아들을 때가 많았는데 너무 좋아요","5","0","8.2.0"
"2022-09","해지하기 정말정말정말정말 힘듬 핸드폰결제해서 보다가 TV로 보려고하니 또 결제하라고함 그래서 또 결제했음 계속 보다가 일이바빠 tv를 거의못봐서 해지했는데 몇달동안 계속 결제가 되어있음 어 내가 해지를 안했었나? 하고 티빙 보려고하니 또 결제하라고함 핸드폰 TV 2개 결제하라고 한것도 웃긴데 그것마저도 해지가 안되고 결제는 꼬박꼬박 해가고 컨텐츠 이용도 안되는... 별점 1개도 아까운 컨텐츠임 누가 티빙본다하면 도시락 싸들고 말릴예정","1","0","8.2.0"
"2022-09","티빙 해지 하려고 하는데 어떻게 해야 되나요 알려주세요","1","0","8.2.0"
"2022-09","갤탭으로 사용시 블루투스 키보드로 일시정지 재생 앞으로 뒤로 스킵 기능 좀 사용할 수 있으면 더 좋을거 같네요.","4","0",""
"2022-09","왜 캐릭캐릭체인지는 더빙이 없나요??","3","0","8.1.4.1"
"2022-09","결제취소 좀 부탁드립니다","1","0","8.1.4.1"
"2022-09","한회차를 다본상태에서 다음날 이이어보기하면 본회차 처음부터 시작되요. 수정해주세요","4","0","8.1.4.1"
"2022-09","티빙에서 정기결재 해지하는 곳이없어요 해지할수있는 방법이요","1","0","8.1.4.1"
"2022-09","해지하기 힘드네 구글 인앱결제 해지하라는데 구글에는 안뜨고 고객센터는 전화안받고","1","0","8.1.4.1"
"2022-09","9월11일 결제되었는데 환불 받고싶습니다 어떻게 해야하나요?","3","0","8.1.4.1"
"2022-09","아니 잘 되던 배속재생을 왜 안되게 막아요? 퀵비오디나 실시간 방송 배속재생 다시 되도록 돌려놔요","1","0","8.1.4.1"
"2022-09","너무 좋은 오프라인 기능도 추가해주세요 출근할 때 보기 힘들어요","4","0","8.1.4.1"
"2022-09","갤럭시 플립4 입니다. 티빙 화면을 원본비율 재생시 전체화면이 4면이 공백이 생겨 작게 나오고 옵션에서 꽉찬화면으로 바꾸면 자막이 2줄 중 아래줄은 나오지 않습니다. 개선해 주시기 바랍니다. 참고로 다른 ott 웨이브 넷플릭스 등 는 화면이 양옆으로 공백이 생겨서 화면크기도 유지하면서 보는데 지장이 없습니다.","2","3","8.1.4.1"
"2022-09","앱 쓰레기. 짜증난다.","1","0","8.1.4.1"
"2022-09","볼꺼 읍따","5","0","8.1.4.1"
"2022-09","갤럭시 탭으로 볼 때 영화나 드라마에서 CODE 1 38 이라는 문구와 함께 영상이 나오지 않습니다. 개선 부탁드립니다","2","0",""
"2022-09","왜 구매가 안되죠 만 14세 이상인데 일반 영화 구매가 안되네요 제가 무슨 성인 콘텐츠를 보겠다는 것 아니고 돈 내고 사서 보겠다는데 구매가 안되니깐 앱 자체를 사용조차 못 하겠네요","1","0",""
"2022-09","가입을 편하게하고 로그인을 어렵게 하는건 무슨 심보인지 모르겠네요","2","0","8.1.4.1"
"2022-09","CJ 로그인 안됨. 홈페이지에서도 CJ 로그인 안됨.","1","0",""
"2022-09","아직 사용안했음","5","0","8.1.4.1"
"2022-09","앱 다운 로드가 안되요","1","0",""
"2022-09","앱 최적화를 부탁드립니다. 스탠타드 이용권을 쓰며 티빙을 사용하는 중입니다. 구 버전에서는 안 그러더니 최신 버전에서는 동영상 플레이어의 재생바가 등장할 때 프레임이 떨어집니다.","3","0","7.4.5"
"2022-09","왜 갑자기 로그인이 안되는거죠 요즘 티빙 이상항것 같습니다","1","0","8.1.4.1"
"2022-09","8월달에 첫번째 결제를 하고 9월달 까지 쓰고 그만 하려고 했는데 결제가 되버려서 환불을 하려고 했습니다 근데 환불자체가 안되네요","1","0","8.1.4.1"
