"Date","Review","Star","Like","Version"
"2022-09","정말 유용한앱 입니다","5","0","1.36.2-b156"
"2022-09","제 폰에서 플레이 앱만 설치해서 아이디랑 비번으로 로그인해보는데 엄마한테만 있는 쿠팡배송 알림은 왜 자꾸 뜨나요? 저는 쿠팡앱이 없는데...","3","0","1.37.0-b157"
"2022-09","설치업데이트가 99 에서 작동안됩니다","1","0","1.36.1-b152"
"2022-09","이거 설치가 안되는데 무슨 문제일까요","1","0",""
"2022-09","왜 업데이트하라면서 눌러도 업데이트는 안되는건가요","1","0",""
"2022-09","내가 보고 싶은 영화가없다.","4","0","1.37.0-b157"
"2022-09","너무 끊겨서 도저히 볼 수가 없네요. 한 편도 끝까지 못봄.","1","0","1.36.2-b156"
"2022-09","아주 저렴한데도 빅뱅이론 전시즌 다 있고 추억의 드라마들이나 심지어는 영어 공부에 꽤 도움이 되는 사교육 컨텐츠도 제공되어 꽤 쏠쏠함 안 그래도 이것저것 볼 시간 없길래 넷플 왓챠 다 끊고 이거 하나만 봄 굿","5","0","1.37.0-b157"
"2022-09","최신프로 잘 보고있습니다","5","0","1.36.1-b152"
"2022-09","업데이트가 안되네요.. 전체 지우고 다시 까는것도 안됨..","1","0","1.33.4-b139"
"2022-09","업그레이드 한다며 어제부터 안되요...","1","0","1.36.0-b151"
"2022-09","쿠팡 최곱니다","5","0","1.36.1-b152"
"2022-09","넷플릭스 에서방영하는영화를보여주세요","5","0","1.37.0-b157"
"2022-09","쿠팡플레이가 아무리해도 앱이 설치가 안되는데요 어떻게 해야하는지요?","5","0",""
"2022-09","삼성폰기준 전체화면시 액정 왼쪽 셀프카메라있는곳 상하단에 곡면 그림자가 생깁니다 엣지모양으로 이미지 넣으신거같은데 그게 자꾸거슬려요 인피니티 디스플레이가 들어가면서 기존액정과 화면표시되는 위치들이 달라졌는데 음영넣은부분이 계속해서 보여지네요 수정부탁드립니다","5","0","1.36.2-b156"
"2022-09","다 좋은데 전체화면 재생시 펀치홀쪽 노치쪽 이 꽉 차지 않아요. 휴대폰살장에서는 이미 펀치홀 노치 쪽도 다 차서 나오게 설장해둔 상태입니다. 이건 쿠팡플레이 앱이 지원을 못하는겁니다.","5","0",""
"2022-09","진짜 볼꺼 앵간히 없네요..","1","0",""
"2022-09","pc에는 다운이안되나여??","1","0",""
"2022-09","사용방법이 쉬어요","5","0","1.36.2-b156"
"2022-09","오프닝 건너뛰기 해당 화가 끝나면 다음 화로 넘어가기 등등 가장 필요한 기능이 없다.오프닝과 엔딩을 사용자가 수동으로 재생바를 이동시켜야 하는 불편함이 가장 크다. 모바일 앱은 자막 크기가 진짜 너무 크다. 긴 대사는 위 아래 두 줄로 나눠 보여주면 되는 걸 굳이 큰 글씨로 가로로 쭉 길게 늘어뜨린다. 대화하는 장면에서도 가로로 출력되게 세팅해 놓았다. 왜 그렇게 설정해 놓은건지 한번 물어보고 싶네 아니 개발자 본인들도 보면서 불편하지 않나? 이 두 가지 이유 때문에 넷플릭스와 쿠플에 같은 작품이 있으면 넷플릭스로 보게 된다.","2","0","1.36.2-b156"
"2022-09","그냥영화가다 재밌습니다.","5","0","1.36.2-b156"
"2022-09","좋네요 좋아","5","0","1.36.0-b151"
"2022-09","왜 화면이 안돌아가나요? 왼쪽 가로로는 눕는데 오른쪽 가로로는 왜 안눕는건가요? 누워서 보는데 충전기 선이 밑으로 깔려서 불편하네요","2","0","1.36.2-b156"
"2022-09","공짠데 불만 왜 이렇게 많냐? 꼬우면 넷플릭스 가라고","5","0","1.36.0-b151"
"2022-09","다운이 안돼는데? 유료인데 해지해야할듯","1","0","1.36.2-b156"
"2022-09","난 그냥 내가 지금 막 엄청 잘","5","0","1.36.2-b156"
"2022-09","볼게 별로 없음...아직도 볼게 별로 없음..정말 볼게 없음","3","0","1.36.2-b156"
"2022-09","하...이 좋은어플에 불만들이 왜많은지모르겠네..배가쳐불렀구만.. 나는 쿠팡배송 쿠팡플레이해서 자동이체되는금액 완전 가성비 굿이구만 쿠팡관계자들분도 진상댓글 진상 고객은 회원탈퇴해야된다고 생각합니다","5","0","1.36.2-b156"
"2022-09","이어보기와 함께 처음부터 보기도 있었으면 좋겠어요.","5","0","1.36.1-b152"
"2022-09","티비로 볼 수 있어서 너무 좋아요 근데 티비로 볼때 내가 찜한 콘텐츠 찾으려고 봐도 찾을수가 없는데 어디로 들어가면 있나요?","5","0","1.36.2-b156"
"2022-09","제가 좋아하는 것도있고 짱이였어요","5","0","1.36.2-b156"
"2022-09","고화질 다운로드가 필요합니다.. 화질이 안좋으니 불편하네요..","4","0","1.36.2-b156"
"2022-09","와카코와 술 도 부탁드림","5","0",""
"2022-09","다 만족해요.. 볼게넘많아서조으네여","5","0","1.36.2-b156"
"2022-09","새로나온것 좋네여?","4","0","1.36.0-b151"
"2022-09","볼것도 많고 넘 잘 보고 있어요 영상을 넘겨볼때 10초 단위로 넘길수 있는데 다른 영상 플레이 어플처럼 드레그로 넘길 수 있음 더 좋을것 같아요","5","0","1.36.2-b156"
"2022-09","10초 앞으로 잘 안됨","5","0","1.36.2-b156"
"2022-09","다 좋은데 무한도전 업데이트 좀 부탁드립니다","4","0",""
"2022-09","소리 왜이렇게 작아졌나요...?? 전부다 키워도 쥐똥만큼 들려요 이어폰 끼지않는이상 잘 안들리는데 수정 부탁드려요","5","0","1.36.2-b156"
"2022-09","볼게 넘 없네요 업댓좀.....","2","0","1.36.0-b151"
"2022-09","업데이트 이후 화면 밝기 조정이 바뀐건가요? 예전보다 불편한것 같네요 콘텐츠는 1000 만족입니다","5","0","1.36.2-b156"
"2022-09","미국리얼리티 서바이버 업데이트되어있다는 소식듣고 결제하고 로그인했는데 아무리찾아도 없네요..제가못찾는건지 아님 없어진건가요?","4","0","1.36.2-b156"
"2022-09","다운로드 한 영상 보려면 네트워크 연결 상태가 좋지 않습니다 라고 뜨면서 재생되는 게 없어요..","5","0","1.36.0-b151"
"2022-09","렷 7 텻툐 텨쇼 챠 퍄","5","0","1.36.0-b151"
"2022-09","영화 보고 TV시청 아주좋네요 저는잘이용하고있어요 감사합니다 굿","5","0","1.36.2-b156"
"2022-09","저렴한가격에 볼거리가 많다는게 참좋아요","5","0","1.36.1-b152"
"2022-09","크롬캐스트 연결이 잘안돼요 됐다 안됐다 엉망이네요","1","0","1.36.2-b156"
"2022-09","쿠팡플레이는 소리가 작아요 다른 일을 하면서 보는 경우가 많은데 다른 어플들보다 소리가 작아요","4","0","1.36.2-b156"
"2022-09","좋아요 감사합니다","5","0","1.36.2-b156"
"2022-09","좋은 프로그램 볼 수 있어서 좋아요","5","0","1.36.0-b151"
"2022-09","무료영화도 많고 잘보고있습니다","5","0","1.36.0-b151"
"2022-09","좋아요 최신영화 많이 올려주세요","5","0","1.33.4-b139"
"2022-09","넘 좋아요","5","0","1.36.1-b152"
"2022-09","재미있는게 무 많이 있음","5","0","1.36.2-b156"
"2022-09","다운로드가 안되네요","1","0",""
"2022-09","볼만한 콘텐츠가 많아요","5","0","1.36.2-b156"
"2022-09","제발 자막....자막 넷플이든 뭐든 자막지원이되는데. 자막지원이 안되니 손이안감","1","0","1.36.2-b156"
"2022-09","음악재생중 쿠플영상재생하면 음악 재생정지되게해주세요","5","0","1.36.2-b156"
"2022-09","처음에는 무료레서 좋아요 다음에는 4990원이면 싸네요 영화도 항상 업데이트 되고요 저는 그냥 따운 안받고 바로 봅니다 너무 좋습니다","5","0","1.36.1-b152"
"2022-09","보고싶은 드라마나 영화 추천하는 기능이 있으면 좋겠어요. 아스달연대기랑 달연 애니중 1기밖에 없는 애니 2기이후등도 올라오면 좋겠거든요. 무튼 쿠팡 계속 이용하는 이유중 하나에요.","4","0","1.36.0-b151"
"2022-09","좀 더 값나가는 유료애들보다 나름 업데이트 빨라서 좋음","5","0",""
"2022-09","미러링기능이 마음대로임 어느날은 잘되다가 저녁에 다시하려면 안됨","1","0","1.36.1-b152"
"2022-09","s10 5g 호환 안 되나요 안 되면 괜히 가입 했네요....","5","0",""
"2022-09","도대체 이렇게 좋은 앱에 왜 이렇게 낮은 점수의 리뷰가 많은지 모르겠네요 제 기준 넷플릭스보다 좋은 듯 해요 컨텐츠도 신선하고 요즘 유행하거나 옛날에 정말 재미있게 봤던 추억의 영화 드라마가 하도 많아서 맨날 봐도 질리지가 않아요 그런데 가끔 화질이 급격하게 안 좋아지는 경우가 있는데 주로 폰으로 볼 때 그렇더라구요 아마 제 생각엔 와이파이 결함 문제인 듯한데 와이파이가 정말 잘 터지는 곳에서 봐도 꼭 한번씩은 그런 문제가 생겨요 물론 넷플릭스나 다른 앱들도 그렇지만 보고 있다가 그러면 흐름이 끊겨서 영화나 드라마에 집중이 잘 안 돼요 앞서 리뷰에서 언급 되던 뒤로가기가 잘 안 되는 경우도 있고 무엇보다 소리를 줄여도 얼만큼 줄였는지 모르겠더라고요 소리키가 안 뜨는 건 정말 불편해요.. 그래도 이 외에는 딱히 문제가 없는 것 같아요 세상에 쿠팡에서 이런 앱이 나올지는 상상도 못했네요 앞으로도 좋은 앱 많이 만들어주세요","5","0",""
"2022-09","오류가 계속나고 아예 어플이 안꺼지는경우가 다반사","2","0","1.36.0-b151"
"2022-09","폴드4에서 가로화면으로만 고정이됩니다. 세로로 회전을 해도 가로로만 되네요 빨리고쳐주세요","4","0","1.36.0-b151"
"2022-09","권한 설정이고 권고 사항 데로 햇는데 구글캐스트 끊기네요 넷플릭스는 안 끊기는데... 업데이트 좀 해주세요 잘...","1","0","1.36.0-b151"
"2022-09","중독성 쩔?","5","0","1.36.0-b151"
"2022-09","스마트티비 미러링 쓰다가 언제는 되고 언제는 안되고 아주 개판이네","1","0","1.36.0-b151"
"2022-09","유니콘 너무 재밌어요","5","0","1.36.0-b151"
"2022-09","NFL 중계 너무 좋습니다. 갓팡 2022년 시즌 들어서는 해설자 섭외에 상세한 설명까지 대박이네요","5","0","1.33.5-b145"
"2022-09","구글 티비 크롬캐스트 리모컨버전 에 나오는 어플등록은 언제될까요?","5","3","1.35.1-b150"
"2022-09","TV 연결 안됨","1","0","1.36.0-b151"
"2022-09","손흥민이랑 이강인 등 코리안리거 경기좀 넣어주세요... 아니면 쓸 일이 없을것같네요","1","1","1.36.0-b151"
"2022-09","와이파이 연결해도 안되고 데이터로 연결해도 설치가 안됨","1","0",""
"2022-09","너무 늦어서. 별루예요","1","0","1.33.4-b139"
"2022-09","an bcp drmpol 오류로 재생불가","1","0",""
"2022-09","자막이 있어서 너무 좋아요","5","0","1.36.0-b151"
"2022-09","영화나 드라마가 적네요 보고싶은 드라마랑 영화 있어서 깔았더니 못보고 있어요 드라마 환혼 영화 범죄도시2 빠른 업데이트 부탁드려요","2","0","1.36.0-b151"
"2022-09","쿠팡 공산당 이라며?? 쿠팡 물류센터 갔더니 하는 짓거리들이 딱 공산당 이더라고 그래서 깨끗하게 삭제 했지 어디서 그지 같은 공산당들이 활개를 치려고?? 꺼져","1","0",""
"2022-09","넷 디 왓 보다 컨텐츠 볼만한거 많아요 돈 안아까워요","5","0","1.36.0-b151"
"2022-09","사랑해요 쿠팡","5","0","1.36.0-b151"
"2022-09","Tv연결이 갑자기 안되요","4","0","1.36.0-b151"
"2022-09","모든 것이 공짜로 볼 수 있어서 좋아요","5","0","1.35.1-b150"
"2022-09","쿠팡플레이 보려고 와우회원 가입하고 쿠팡플레이 앱 설치하려는데 제폰 기기가 앱과 버전이 맞지 않는다고 내려받기가 안되는데요 방법이 없을까요? 참고로 제폰은 LG Q7 기종입니다","1","1",""
"2022-09","비상선언 한산 너무 좋아요","5","1","1.36.0-b151"
"2022-09","넘잼나고좋아요 감사 합니다","5","0","1.36.0-b151"
"2022-09","지난번에는 됐는데 지금은 소리만 나오고 영상은 안나오네요","2","0","1.36.0-b151"
