"진짜","858"
"자막뒤","4"
"검정화면","4"
"없애줘요","1"
"정말","500"
"너무","1731"
"불편해요","120"
"이게뭔가요","4"
"하나같이","3"
"다","1219"
"업데이트","567"
"하면","214"
"이상해요","10"
"짘짜","1"
"갤럭시","214"
"폴드4","3"
"에서","50"
"한국드라마","10"
"한글자막","47"
"끄기","3"
"없어서","220"
"강제로","31"
"자막","684"
"봐야됨","2"
"참좋아요.","1"
"모든게.","1"
"잘보고.","1"
"노트7FE에서","1"
"잘","885"
"봤는데","54"
"갑자기","959"
"오늘","228"
"기기에","9"
"호환되지","3"
"않습니다","57"
"라고","53"
"문구가","16"
"뜨면서","84"
"아무것도","86"
"안되네요.","162"
"제거했다가","9"
"재설치할려고하니","1"
"설치도","16"
"방법이","36"
"없는건가요?","8"
"언제","195"
"고치냐?","3"
"아직도","73"
"검정배경이냐.","1"
"검은화면","14"
"바꿀꺼임?","1"
"최악임","6"
"어느새인가부터","1"
"드라마","337"
"재시청시","2"
"처음부터재생.됨","1"
"내가","210"
"어디까지","5"
"봤더라","1"
"해서","168"
"바를","6"
"또","342"
"움직여야함","1"
"모델명","2"
"노트","55"
"10","31"
"갤럭시북","1"
"플렉스","7"
"재생","241"
"전혀","101"
"안됨","185"
"검정배경","7"
"얘기가","2"
"이렇게","224"
"많은데","110"
"바꿀","17"
"생각을","14"
"안하네","3"
"검은색","32"
"배경","41"
"때문에","110"
"별","111"
"하나","65"
"빨리","609"
"해결","141"
"부탁드려요","73"
"디자인","2"
"돌려내.","1"
"얘네","1"
"고칠","13"
"생각","19"
"없으니까","12"
"최신버전","4"
"삭제하고","153"
"7월말","1"
"이전","26"
"구버전","8"
"다운받아서","23"
"보세요","14"
"멀쩡하게","5"
"나옵니다","39"
"좋은데요","30"
"제가","369"
"넷플릭스를","154"
"들어갔는데","22"
"접속을","12"
"할","199"
"수","861"
"없다고","102"
"뜨고","293"
"재시도를","1"
"눌러봐도","2"
"자꾸","707"
"안됨요.","2"
"와이파이도","18"
"빵빵하고.","1"
"뭐죠.","1"
"넷플릭스의","15"
"설정이","48"
"들어가는데","9"
"계속","1554"
"홈으로","12"
"가고","6"
"프로필","22"
"설정으로","8"
"저절로","18"
"앱","674"
"밖으로","5"
"가요","2"
"이것좀","18"
"수정해주세요.","15"
"가입이","16"
"어렵네요","5"
"수리남이","1"
"안나와요","63"
"스마트폰","19"
"앱이","352"
"뜨지","13"
"않아요.땡기네요","1"
"로그인","210"
"할때","16"
"어떤카드를","1"
"쓰겟습니까","1"
"나오는데","134"
"구글기프트카드라고","1"
"적어주시고","1"
"구글기프트","1"
"카드","72"
"결재로해주세요.","1"
"구글","53"
"업데이트로","17"
"추가","102"
"해주세요.","175"
"네이버","7"
"로그인이랑","2"
"페이스북","2"
"트위터","1"
"추가를","3"
"공짜로","23"
"보게","43"
"일부","21"
"회당","3"
"영상에서","14"
"자막이","645"
"꺼져있거나","2"
"나오질","12"
"심지어","68"
"대화중","1"
"영어를","6"
"쓰는데","85"
"자막제공이","2"
"안됩니다.왜그런지","1"
"이유좀","4"
"알려주세요","54"
"그리고","541"
"일본애니에","1"
"음성이","5"
"영어인거죠?","1"
"아니","675"
"도대체","148"
"설정","114"
"넣어줌?","1"
"자막때메","2"
"못보겠네","1"
"재미있던게","1"
"사라져요","13"
"어벤져스나","1"
"스타워즈좀","1"
"부탁드려요.","24"
"좀.","26"
"휴대폰에서","11"
"넷플릭스가","135"
"안","826"
"열려요","8"
"좋은데","606"
"검은","120"
"배경좀","1"
"제발.제발.","1"
"몇","81"
"달","51"
"째여","1"
"이게.","3"
"자막자막자막！！！！！！시꺼먼배경","1"
"짜증나서못보겠네진짜","1"
"별짓","3"
"다하다","1"
"남겨요","2"
"재밌게","67"
"보는데","278"
"배경에","9"
"검은호","1"
"면","3"
"좋아요.","97"
"돈아까워.","1"
"이젠","71"
"빠이빠이","1"
"별한게도","1"
"안줄있으면좋겠는이유","1"
"1.","46"
"시리즈","80"
"누르면","153"
"장르","12"
"선택이있는데","1"
"세부장를","1"
"누를","3"
"수도없음","1"
"2.","50"
"장르게","1"
"들어간다고","4"
"한들","2"
"찾으라고","1"
"하는건지","17"
"아님","47"
"그냥","403"
"나와있는데로보라고하는건질","1"
"모르겠음","13"
"3.","32"
"다른어플들은.","1"
"세부적이로나오고","1"
"추천도있고.","1"
"찾기도편한게.","1"
"이건","136"
"찾기고어렵고","1"
"세부적인것도없고","1"
"무슨말인질모른겠고","1"
"솔직히","74"
"개발자는","3"
"본인이","10"
"많들어","1"
"놓고","10"
"이어플에","1"
"관심이없는것같습니다.","1"
"개발자생각이아니라","1"
"사용자에","2"
"맛게","1"
"수정","105"
"요망","2"
"어플에관심이없는듯한것같네요","1"
"오프라인","9"
"저장이","32"
"일부만","4"
"될","25"
"경우에는","8"
"와이파이가","14"
"연결되어있음에도","1"
"다음","67"
"화로","3"
"넘기는","10"
"버튼이","48"
"않음.","22"
"나가서","7"
"회차","19"
"보기에서","2"
"화","13"
"선택해야됨","1"
"안드로이드에서","13"
"끄기가","1"
"이번에","40"
"별론데","1"
"왜","2029"
"바탕을","1"
"쓴거지","1"
"거슬리고","6"
"안보여요","18"
"좋아요","579"
"심심할때","13"
"보면","170"
"재밌고","28"
"시간도","12"
"빨리가용","1"
"좋아하는거","3"
"있긴한데","8"
"볼만한","25"
"영화나","139"
"만화","28"
"그런거","17"
"나와요","61"
"팝업재생시","1"
"자막만","89"
"보이는","16"
"현상이","120"
"자주","150"
"일어납니다.","3"
"확률적으로","1"
"90","2"
"나됩니다.","1"
"팝업재생으로","1"
"영상을","250"
"볼수없는데","3"
"비싼","30"
"비용을","5"
"지불하고","9"
"구독해야할지","1"
"의문입니다.","3"
"너무너무","46"
"재미","16"
"있었어유","1"
"이번","50"
"들어온","4"
"슬램덩크","1"
"감사합니다","67"
"정말정말","7"
"고맙습니다","2"
"재밌게보고있습니다","2"
"넷플릭스","1156"
"화이팅","10"
"화질도","84"
"좋고","65"
"왠만하면","5"
"좋긴한데","37"
"녹화나","1"
"캡쳐를","1"
"못하네요.","5"
"조아요","11"
"화면상","1"
"우측에는","1"
"볼륨키","1"
"넣어","21"
"달라고","5"
"좌측에는","1"
"화면","433"
"밝기가","23"
"있다.","14"
"어플","286"
"만든","18"
"수준이","12"
"그래","9"
"좌에서","1"
"우로","1"
"밀어서","4"
"감기와","1"
"되감기도","1"
"만들어서","19"
"넣어라","2"
"리뷰를","33"
"쓸","31"
"있는","342"
"공간을","2"
"만들어라","6"
"모두","48"
"만들지","7"
"않으면","21"
"탈퇴한다","3"
"애니메이션","49"
"적음","9"
"포켓몬스터","14"
"영어","90"
"버전","10"
"있으면","193"
"좋을것같아요","11"
"뒤","30"
"좀","1227"
"어떻게","418"
"해결해","27"
"주세요.","54"
"분명히","32"
"설정은","17"
"배경색","4"
"없음으로","3"
"되어","34"
"있는데","323"
"앱을","234"
"지웠다","145"
"다시","1296"
"깔고","48"
"로그아웃을","7"
"반복하고","6"
"자체","36"
"설정을","50"
"바꾸고","32"
"별별","1"
"짓을","4"
"해도","284"
"배경이","34"
"사라집니다.","18"
"화면을","77"
"가려","2"
"영상","550"
"시청에","11"
"불편함이","20"
"있으니","21"
"아니.업데이트했는데","1"
"계정이","31"
"튕겨서","13"
"들어가려는","1"
"데","25"
"들어가지는","3"
"건","94"
"뭔가요.?","2"
"장난하자는","2"
"겁니까?","20"
"운영자님","5"
"시리즈중에","1"
"하우스","6"
"오브","9"
"드래곤","5"
"올려주세요","96"
"부탁드립니다","151"
"걍","57"
"잘사용","3"
"하고","311"
"있습니다","168"
"보다가","178"
"어제부턴가","1"
"들어가자마자","9"
"튕십니다.","1"
"어떡할까요?","1"
"후","221"
"자막에","73"
"생겨서","33"
"불편함.","18"
"없앨수도없음.","1"
"업데이트하지마세요.","1"
"업데이트하고","36"
"이틀째","10"
"검은색배경이","2"
"없어졌습니다.","4"
"이상한","21"
"검정색","17"
"바가","9"
"새겨서","1"
"보기가","35"
"불편함","50"
"이런거","41"
"고쳐주면","1"
"좋을듯","12"
"결제하고","92"
"다했는데","11"
"로그인함","1"
"가입하라","2"
"하나요","19"
"이미","115"
