"Date","Review","Star","Like","Version"
"2022-09","진짜 자막뒤 검정화면 없애줘요 정말 너무 불편해요 이게뭔가요 하나같이 다 업데이트 하면 다 이상해요 짘짜","1","0","8.40.0 build 4 50271"
"2022-09","갤럭시 폴드4 에서 한국드라마 한글자막 끄기 없어서 강제로 자막 봐야됨","1","0","8.39.1 build 12 50268"
"2022-09","참좋아요. 모든게. 잘보고.","5","0","8.40.0 build 4 50271"
"2022-09","노트7FE에서 잘 봤는데 갑자기 오늘 기기에 호환되지 않습니다 라고 문구가 뜨면서 아무것도 안되네요. 제거했다가 재설치할려고하니 설치도 안되네요. 방법이 없는건가요?","1","0","8.35.0 build 19 50257"
"2022-09","자막 진짜 언제 고치냐? 아직도 검정배경이냐.","1","3","8.40.0 build 4 50271"
"2022-09","자막 검은화면 언제 바꿀꺼임? 최악임","1","0","8.40.0 build 4 50271"
"2022-09","어느새인가부터 드라마 재시청시 처음부터재생.됨 내가 어디까지 봤더라 해서 바를 또 움직여야함","3","1","8.39.1 build 12 50268"
"2022-09","모델명 갤럭시 노트 10 갤럭시북 플렉스 재생 전혀 안됨","5","0","8.30.0 build 5 40236"
"2022-09","자막 검정배경 얘기가 이렇게 많은데 바꿀 생각을 안하네","1","0","8.39.1 build 12 50268"
"2022-09","검은색 자막 배경 때문에 별 하나 빨리 해결 부탁드려요 불편해요","1","0","8.39.1 build 12 50268"
"2022-09","자막 디자인 돌려내.","4","4","8.39.1 build 12 50268"
"2022-09","얘네 자막 배경 고칠 생각 없으니까 최신버전 삭제하고 7월말 이전 구버전 다운받아서 보세요 자막 멀쩡하게 나옵니다","1","0","8.31.0 build 11 50240"
"2022-09","좋은데요 제가 넷플릭스를 들어갔는데 접속을 할 수 없다고 뜨고 재시도를 눌러봐도 자꾸 안됨요. 와이파이도 빵빵하고. 뭐죠.","3","0","8.40.0 build 4 50271"
"2022-09","넷플릭스의 설정이 들어가는데 계속 홈으로 가고 프로필 설정으로 들어가는데 계속 저절로 앱 밖으로 가요 이것좀 수정해 주세요. .","3","0","8.39.1 build 12 50268"
"2022-09","가입이 너무 어렵네요","1","0","8.39.1 build 12 50268"
"2022-09","수리남이 안나와요","3","0",""
"2022-09","오늘 갑자기 스마트폰 앱이 뜨지 않아요.땡기네요","1","1","8.39.1 build 12 50268"
"2022-09","로그인 할때 어떤카드를 쓰겟습니까 라고 나오는데 구글기프트카드라고 적어주시고 업데이트 하면 구글기프트 카드 결재로해 주세요. . 구글 로그인 업데이트로 추가 해 주세요. . 네이버 로그인이랑 구글 로그인 페이스북 로그인 트위터 로그인 추가를 해 주세요. . 공짜로 보게 해 주세요. .","5","7","8.14.0 build 5 40129"
"2022-09","일부 회당 영상에서 자막이 설정이 꺼져있거나 나오질 않습니다 심지어 대화중 영어를 쓰는데 자막제공이 안됩니다.왜그런지 이유좀 알려주세요.  그리고 일본애니에 음성이 영어인거죠?","1","0","8.39.1 build 12 50268"
"2022-09","아니 도대체 자막 설정 언제 넣어줌? 자막때메 못보겠네","1","1","8.39.1 build 12 50268"
"2022-09","자꾸 재미있던게 사라져요 어벤져스나 스타워즈좀 부탁드려요.","4","0","8.39.1 build 12 50268"
"2022-09","자막 설정 좀.","2","0",""
"2022-09","휴대폰에서 넷플릭스가 안 열려요","1","1","8.39.1 build 12 50268"
"2022-09","다 좋은데 자막 검은 배경좀 제발.제발. 몇 달 째여 이게.","5","0","8.39.1 build 12 50268"
"2022-09","자막！ 시꺼먼배경 짜증나서못보겠네진짜 별짓 다하다 남겨요","1","0","8.39.1 build 12 50268"
"2022-09","재밌게 보는데 배경에 검은호 면","2","0","8.39.1 build 12 50268"
"2022-09","다 좋아요.","5","0",""
"2022-09","돈아까워. 이젠 빠이빠이","5","0",""
"2022-09","별한게도 안줄있으면좋겠는이유 1. 시리즈 누르면 장르 선택이있는데 세부장를 누를 수도없음 2. 장르게 들어간다고 한들 찾으라고 하는건지 아님 그냥 나와있는데로보라고하는건질 모르겠음 3. 다른어플들은. 세부적이로나오고 추천도있고. 찾기도편한게. 이건 찾기고어렵고 세부적인것도없고 무슨말인질모른겠고 솔직히 개발자는 본인이 많들어 놓고 이어플에 관심이없는것같습니다. 개발자생각이아니라 사용자에 맛게 수정 요망 어플에관심이없는듯한것같네요","1","2","8.37.0 build 13 50262"
"2022-09","오프라인 저장이 일부만 될 경우에는 와이파이가 연결되어있음에도 다음 화로 넘기는 버튼이 뜨지 않음. 밖으로 나가서 회차 보기에서 다음 화 선택해야됨","3","0","8.39.0 build 9 50265"
"2022-09","안드로이드에서 자막 끄기가 안됨","1","0","8.5.0 build 14 40044"
"2022-09","이번에 자막 너무 별론데 도대체 왜 검은색 바탕을 쓴거지 너무 거슬리고 안보여요","1","0","8.39.0 build 9 50265"
"2022-09","너무 좋아요 심심할때 보면 재밌고 시간도 빨리가용","5","0","8.39.1 build 12 50268"
"2022-09","좋아하는거 있긴한데 볼만한 영화나 만화 그런거 나와요","4","0","8.39.1 build 12 50268"
"2022-09","팝업재생시 자막만 보이는 현상이 자주 일어납니다. 확률적으로 90 나됩니다. 팝업재생으로 영상을 볼수없는데 비싼 비용을 지불하고 넷플릭스를 계속 구독해야할지 의문입니다.","2","0","8.39.1 build 12 50268"
"2022-09","너무 재미 있었어유","5","0","8.39.1 build 12 50268"
