"Date","Review","Star","Like","Version"

"2022-09","어느순간 팝업기능이 안되길래 없어진 줄 알고 한동안 티빙만 썼음 어느날 전화로 물어봤더니 폰 설정을 바꿔야 하는 거였는데 공지도 없었고 이게 뭐하자는 것인지 이런 건 미리 공지돼야 하는 게 아닌가 물었더니 상담사 분은 예예 이러고 끝이고 그리고 팝업에서 10초 앞뒤로 이동 버튼도 없어지고 얻은 것보다 잃은 게 더 많은데 이런 걸 개선 된 서비스라고 하나요 노트북으로 볼 때 잠깐 스쳑 는 장면 자세히 보려고 일시정지 빠르게 누르면 영상 처음부터 다시 재상됨 예전부터 불편하던 것들 진짜 할 것들은 안 하고 쓸데없는 일에 왜 그렇게 집착하는지. 이것 뿐만 아니라 라든가 등도 마찬가지 웨이비보다는 덜하지만 티빙도 마찬가지임 업데이트 이후 겁나 느려짐 업데이트를 하면 할수록 더 개판이 돼가는 느낌.","1","0","6.0.11"

"2022-09","내가 진짜 뭐든 사용하면서 그냥 불편하면 불변한데로 쓰는 사람인디 이건 너무하지 않나 싶네요. 결제해서 시청하는데도 접속이 원할하지 않다고 시청이 안되는건 뭐하자는건지 모르겄네요. 또. 무료시청은 되요. 뭐 이딴 경우가 있음 장난하는것도 아니고. 진짜 그지같은 앱이네요.","1","0","5.6.30"

"2022-09","9월5일 검색기능안된다고 문의했는데 9월15일 전화하니 또 기다리라고만함.담당자 연결같은건 안된다고함.고객은 문제접수하고 계속 그냥 기다리기 하는것밖에 안된다고함.","1","0","6.0.11"

"2022-09","웨이브 로고 바뀐 건 봐줄만한데 앱에 들어갈 때 눈뽕이 너무 심합니다. 하다못해 다크모드를 켰을 때만이라도 화면을 어두운 톤으로 조정하는 걸 고려해보시면 어떻까 합니다. 그리고 밝기 음량 조절 제스처는 이제 없애는 거 어떤가요. 시대에 뒤떨어지는 제스처가 왜 아직도 존재하는지 모르겠습니다. 마지막으로 일부 메뉴를 들어갈 때 속도가 너무 느립니다. 이 점을 제외한다면 굉장히 마음에 드는 앱입니다. 드라마를 좋아해서 그런지 보다 많이 보기도 하네요. 앱 디자인도 꽤 깔끔해졌고요.","3","0","6.0.11"

"2022-09","전후방 버튼 5초 설정 가능 부탁드려요 가로 적용 개선 바랍니다.","1","197","6.0.11"

"2022-09","무료회원도 팝업창으로 볼수있게 좀 해주세요 다른 티비어플들은 무료회원이라도 팝업창해주는데 왜 웨이브는 안해주나요? 유료회원만 회원인가요?","1","0","6.0.11"

"2022-09","팝업 플레이어 어디갔나요? 팝업 팝업 가장 요긴한 기능 이엇는데 팝업 플레이어 가능 돌려줘여.","2","0","6.0.11"

"2022-09","다른건 다 좋은데 갤럭시인 경우에만 해당되는지 모르겠지만 재생 중 화면이 어두워지는 현상이 발생하네요 스마트폰과 태블릿 두가지에서 같은 현상이 발생되네요.","4","0","6.0.11"

"2022-09","구글결제토스로 결제를 했는데 3일뒤인가 취소가. 되어서 돈이 환불이됫네요 이유없이. 결제취소가된건지 이해할수가없네요 구글자체 문제면 여러사람들도 그런일이 있을수도 있다는 말인데 결제에 대해서 신경좀 써주셨으면합니다.","3","0","6.0.11"

"2022-09","첫달 100원 2개월 50 할인 혜택 적용되지 않았습니다.","3","0","6.0.11"

"2022-09","참 개같이도 편하게 만들어놔서 한 편 제대로 본 적도 없이 삭제하게되네요 본인인증하고 신규가입하고 이용권구매 페이지 들어가봤더니 100원 이용권이라 써있는 건 하나도 없길래 이게 뭐지 싶어서 방법 뒤적대다가 T 부가서비스 웨이브 앤 데이터 이용권에 한달 100원 써있어서 이건가?하고 서비스 구매했더니 결국 아녔고. 근데 또 이 T월드 제공 웨이브 앤 데이터 이용권 구매하면 웨이브 자체 이용권은 구매도 안되네? 그래서 해지하고 다시 앱 들어가봤더니 100원 이용권은 날라가있네 진짜 어떻게 이렇게 앱을 불편하게 만들죠 난 딴 앱 쓰러 갑니다.","1","1","6.0.11"

"2022-09","티비앱에서보면 한 프로그램 재생할때마다 무조건 두번이상 오류남 써본 스트리밍서비스중에 가장 오류가 잦은듯.","1","1","6.0.11"

"2022-09","전체화면으로 보다가 뒤로가기를 하면 세로보기 전체화면으로 바뀌고 그후로는 뒤로가기가 안됩니다. 고쳐주세요.","1","0","6.0.11"

"2022-09","앱 개편 이후 시작화면 색감이 너무 쨍해서 눈이 아파요 들어갈 때마다 눈감고 들어가거나 화면을 못 쳐다봅니다 그 전 색감 괜찮았는데 아쉽네요.","1","0","6.0.11"

"2022-09","야구 5게임 동시시청시 다른경기 전환이 너무 버벅거리고 안됩니다. 갤탭S7FE 사용중이라 사양이 떨어지는것도 아닌데 테스트해보시고 고쳐주세요.","3","0","6.0.11"

"2022-09","안드로이드 6.0.1 기기에서 WAVVE 앱을 설치하려고 보니 구글 스토어에서 앱이 아예 검색조차 안되는군요. 안드로이드 버전이 얼마 이상이라야 되는지 몰라서 PC를 통해 앱 정보를 확인해 보니 접근권한 관련 설명에서 안드로이드 6.0 이상을 권장한다는 말만 있습니다. 그런데 왜 안드로이드 6.0.1 기기에서 웨이브 앱을 설치할 수 없는 건가요? 참고로 넷플릭스나 티빙 등 타 OTT 앱은 아무 문제없이 설치가 되고 있는 상황임.","2","1","6.0.11"

"2022-09","재생시 무조건 자막 뜸. 해제하고 본후 웨이브 껐다가 다시 틀면 또 자막재생. 영상보려 누르면 자동재생기능 너무 불편. 회차 선택도 전에 혼자 재생. 스마트티비는 검색기능 무용지물. 검색 안됨. 하. 정규방송 VOD 대부분 볼수 있어 결제했는데 기능이 후퇴하고 있는 기분임.","1","3","6.0.11"

"2022-09","아니 팝업창 어따 팔아먹음?","1","0","6.0.11"

"2022-09","로그인 되어있는 기계가 없는데 중복으로 로그인 되었다고 잘보고 있는데 중간에 로그아웃 되고 그러네요 .","1","0","5.6.41"

"2022-09","B티비로 앱깔아서 보고있어요. 언제부턴지는 모르겠는데 검색버튼 눌러서 검색할때 키 아래로 방향키로 누르면 숫자판으로 바뀌면서 문자입력이 불가능하더라구요. 거실하고 안방에 티비 둘다 B티비로 깔아서 검색할때 동일한 오류가 있으며 스마트티비 자체에 깔린앱으로 켜서보면 검색자판오류가 없어요. 개선해주시지요.","2","7","6.0.11"

"2022-09","개선이 많이 필요한것 같네요.","1","0","6.0.11"

"2022-09","4K HDR 돌비 애트모스 다 안되고 앱 UI는 그지같이 만들어서 HBO가 이딴 데에 이딴 품질로 한국에 독점 공급하고 있다는 게 개빡침 비트레이트도 쓰레기여서 차라리 불법이 더 선명하겠다.","1","1","6.0.11"

"2022-09","결제했는데 미리보기만됨?","1","0","6.0.11"

"2022-09","화면 우측 볼륨 조절 기능이 너무 민감하여 갑자기 커진 볼륨에 깜짝 놀라길 여러번. 앱 출시 전에 이런건 테스트 안하나요?","1","0","6.0.11"

"2022-09","자동재생기능에 대해서 말할 것도 없이 다른 분들이 다 써줬네요. 그래도 그냥 바꿀 의지없음이 드러나는 답변. 그리고 앱기능보다 더 싫은건 자체콘텐츠랍시고 꼴도 보기싫은 동성애영화 만들어서 대문짝만하게 띄워서 계속 눈에 띄게 만들고 갠적으로 별 반쪽도 아까운 앱임.","1","0","6.0.11"

"2022-09","완죤구림 고사양셀룰런데.튕김심함. 같은경운첨이라 황당.","1","0","6.0.11"

"2022-09","자막 꺼도 다시 재생할 때마다 켜지는 점. 자막 해제기능 없나요?","2","0","5.6.30"

