"어느/MDT","17"
"순간/NNG","7"
"팝업/NNG","255"
"기능/NNG","235"
"이/JKS","2031"
"안/MAG","1715"
"되/VV","1662"
"길래/ECD","21"
"없/VA","707"
"어/ECD","514"
"지/VXV","168"
"ㄴ/ETD","1786"
"줄/NNB","47"
"알/VV","122"
"고/ECE","2725"
"한동안/NNG","2"
"티빙/NNG","66"
"만/JX","476"
"쓰/VV","278"
"었/EPT","1531"
"음/ETN","192"
"날/NNG","25"
"전화/NNG","37"
"로/JKM","809"
"물어보/VV","3"
"았/EPT","377"
"더니/ECD","92"
"스마트폰/NNG","233"
"설정/NNG","72"
"을/JKO","817"
"바꾸/VV","142"
"어야/ECD","235"
"하/VV","1911"
"는/ETD","1649"
"거/NNB","486"
"이/VCP","1879"
"는데/ECD","1415"
"공/NNG","10"
"지도/NNG","17"
"없었/VV","10"
"이것/NP","74"
"뭐하/VV","32"
"자고/ECD","13"
"것/NNB","1289"
"ㄴ지/ECD","87"
"이런/MDT","79"
"건/NNM","70"
"미리/MAG","59"
"공지/NNG","19"
"되/XSV","545"
"아니/VCN","150"
"ㄴ가/ECS","57"
"묻/VV","5"
"상담/NNG","17"
"사/NR","1"
"분/NNB","14"
"은/JX","523"
"예/IC","2"
"이러/VV","79"
"끝/NNG","8"
"그리고/MAC","34"
"에서/JKM","501"
"10/NR","66"
"초/NNM","50"
"앞뒤/NNG","11"
"이동/NNG","20"
"버튼/NNG","117"
"도/JX","1543"
"얻/VV","2"
"은/ETD","517"
"보다/JKM","113"
"잃/VV","3"
"더/MAG","191"
"많/VA","493"
"은데/ECD","166"
"이렇/VA","64"
"개선/NNG","117"
"서비스/NNG","186"
"라고/JX","54"
"하나/NR","52"
"요/JX","301"
"컴퓨터/NNG","16"
"으로/JKM","710"
"보/VV","2368"
"ㄹ/ETD","1371"
"때/NNG","331"
"잠깐/MAG","7"
"스쳑/UN","1"
"늘/VV","53"
"장면/NNG","13"
"자세히/MAG","2"
"려고/ECD","166"
"일시/NNG","9"
"정지/NNG","20"
"빠르/VA","72"
"게/ECD","806"
"누르/VV","162"
"면/ECE","716"
"영상/NNG","294"
"처음/NNG","75"
"부터/JX","167"
"다시/MAG","377"
"재상/NNG","1"
"ㅁ/ETN","372"
"예/NNG","29"
"전/NNG","146"
"불편/NNG","329"
"하/XSV","3390"
"더/EPT","261"
"들/NNM","22"
"진짜/NNG","38"
"듣/VV","89"
"쓸데없/VA","4"
"일/NNG","66"
"에/JKM","1215"
"왜/MAG","457"
"그렇/VA","76"
"집착/NNG","1"
"는지/ECS","106"
"./SF","5827"
"이/NR","14"
"것/NNM","5"
"뿐/NNB","16"
"라/ECD","158"
"라/NNG","46"
"든/JX","11"
"가/NNG","9"
"등/NNB","63"
"마찬가지/NNG","11"
"웨이비보다/UN","1"
"는/JX","866"
"덜하/VA","1"
"지만/ECE","130"
"임/NNG","65"
"업데이트/NNG","624"
"이후/NNG","72"
"겁/NNG","6"
"나/VV","65"
"아/ECS","311"
"느리/VV","3"
"어/ECS","1370"
"짐/NNG","15"
"를/JKO","695"
"ㄹ수록/ECD","3"
"개판/NNG","4"
"이/JKC","121"
"갈/VV","44"
"느낌/NNG","8"
"내가/NNG","24"
"진짜/MAG","124"
"뭐/NP","84"
"사용/NNG","368"
"면서/ECE","129"
"그냥/MAG","100"
"불변/NNG","1"
"데/NNB","117"
"사람/NNG","92"
"디/NNG","12"
"건/ECE","31"
"너무하/VA","17"
"지/ECD","427"
"나/EFQ","39"
"싶/VXA","234"
"네요/EFN","1012"
"결제/NNG","598"
"어서/ECD","946"
"시청/NNG","270"
"접속/NNG","40"
"원할하/VV","2"
"다고/EFN","88"
"ㄴ지/ECS","102"
"모/NNG","7"
"르/NNG","10"
"그/VV","44"
"또/MAG","112"
"무료/NNG","148"
"어요/EFN","907"
"이딴/MDT","11"
"경우/NNG","42"
"가/JKS","1305"
"있음/NNG","33"
"장난/NNG","31"
"아니/VV","119"
"같/VA","411"
"앱/NNG","575"
"9/NR","30"
"월/NNM","62"
"5/NR","65"
"일/NNM","44"
"검색/NNG","66"
"ㄴ다고/ECE","68"
"문의/NNG","51"
"15/NR","8"
"니/ECD","185"
"기다리/VV","30"
"고만하/VV","1"
"담당자/NNG","3"
"연결/NNG","247"
"건/NNG","33"
"고객/NNG","69"
"문제/NNG","106"
"접수/NNG","3"
"계속/MAG","151"
"기/ETN","363"
"밖에/JX","15"
"웨이브/NNG","853"
"로고/NNG","4"
"봐주/VV","3"
"만하/VXA","7"
"ㄴ데/ECE","237"
