"Review","Tokens"

"진짜 자막뒤 검정화면 없애 줘요 정말 너무 불편해요 이게뭔가요 하나같이 다 업데이트 하면 다 이상해요 짘짜.","진짜/NNG|자막/NNG|뒤/NNG|검정색/NNG|화/XSN|이/VCP|면/ECE|없애/VV|줘요/UN|정말/MAG|너무/MAG|불편/NNG|하/XSV|어요/EFN|이것/NP|이/JKS|뭔/MDT|가요/NNG|하나같이/MAG|다/MAG|업데이트/NNG|하/VV|다/MAG|이상/NNG|하/XSV|어요/EFN|짘/UN|짜/VV|아/ECS|./SF"

"갤럭시 폴드4 에서 한국드라마 한글자막 끄기 없어서 강제로 자막 봐야됨.","갤럭시폴드/NNG|4/NR|에서/JKM|한국/NNG|드라마/NNG|한글/NNG|자막/NNG|끄/VV|기/ETN|없/VA|어서/ECD|강제/NNG|로/JKM|자막/NNG|보/VV|아야/ECD|되/VV|ㅁ/ETN|./SF"

"참좋아요. 모든게. 잘보고.","참/MAG|좋/VA|아요/EFN|./SF|모든/NNP|게/NNG|./SF|잘/MAG|보/VV|고/ECE|./SF"

"노트7FE에서 잘 봤는데 갑자기 오늘 기기에 호환되지 않습니다 라고 문구가 뜨면서 아무것도 안되네요. 제거했다가 재설치하려고하니 설치도 안되네요. 방법이 없는건가요?","노트/NNG|7/NR|FE/OL|에서/JKM|잘/MAG|보/VV|았/EPT|는데/ECD|갑자기/MAG|오늘/NNG|기기/NNG|에/JKM|호환/NNG|되/XSV|지/ECD|안/MAG|습니다/EFN|라고/JKQ|문구/NNG|가/JKS|뜨/VV|면서/ECE|아무것/NNG|도/JX|안/MAG|되/VV|네요/EFN|./SF|저/NP|의/JKG|거하/VV|었/EPT|다가/ECD|재/XPN|설치/NNG|하/XSV|려고/ECD|하/VX|니/ECD|설치/NNG|도/JX|안/MAG|되/VV|네요/EFN|./SF|방법/NNG|이/JKS|없/VA|는/ETD|것/NNB|이/VCP|ㄴ가요/EFQ|?/SF"

"자막 진짜 언제 고치냐? 아직도 검정배경이냐.","자막/NNG|진짜/MAG|언제/MAG|고치/VV|냐/EFQ|?/SF|아직/MAG|도/JX|검정색/NNG|배경/NNG|이/VCP|냐/EFQ|./SF"

"자막 검은화면 언제 바꿀꺼임? 최악임.","자막/NNG|검/VA|은/ETD|화면/NNG|언제/MAG|바꾸/VV|ㄹ/ETD|꺼/NNG|임/NNG|?/SF|최악/NNG|임/NNG|./SF"

"어느새인가부터 드라마 재시청시 처음부터재생.됨 내가 어디까지 봤더라 해서 바를 또 움직여야함.","어느새/MAG|인가/NNG|부터/JX|드라마/NNG|재/XPN|시청/NNG|시/NNG|처음/NNG|부터/JX|재생/NNG|./SF|되/VV|ㅁ/ETN|내가/NNG|어디/NP|까지/JX|보/VV|았/EPT|더라/EFN|하/VV|어서/ECD|바르/VV|ㄹ/ETD|또/MAG|움직이/VV|어야/ECD|하/VV|ㅁ/ETN|./SF"

"모델명 갤럭시 노트 10 갤럭시북 플렉스 재생 전혀 안됨.","모델/NNG|명/NNG|갤럭시/NNG|노트/NNG|10/NR|갤럭시/NNG|북/NNG|플렉스/NNG|재생/NNG|전혀/MAG|안/MAG|되/VV|./SF"

"자막 검정배경 얘기가 이렇게 많은데 바꿀 생각을 안하네.","자막/NNG|검정색/NNG|배경/NNG|얘기/NNG|가/JKS|이렇게/MAG|많/VA|은데/ECD|바꾸/VV|ㄹ/ETD|생각/NNG|을/JKO|안/MAG|하/VV|네/EFN|./SF"

