"진짜/NNG","46"
"자막/NNG","534"
"뒤/NNG","83"
"검정색/NNG","96"
"화/XSN","28"
"이/VCP","1320"
"면/ECE","599"
"없애/VV","51"
"줘요/UN","1"
"정말/MAG","98"
"너무/MAG","397"
"불편/NNG","197"
"하/XSV","2148"
"어요/EFN","884"
"이것/NP","99"
"이/JKS","1834"
"뭔/MDT","40"
"가요/NNG","44"
"하나같이/MAG","1"
"다/MAG","302"
"업데이트/NNG","285"
"하/VV","1445"
"이상/NNG","58"
"짘/UN","1"
"짜/VV","7"
"아/ECS","288"
"./SF","5410"
"갤럭시폴드/NNG","9"
"4/NR","93"
"에서/JKM","469"
"한국/NNG","54"
"드라마/NNG","182"
"한글/NNG","25"
"끄/VV","58"
"기/ETN","231"
"없/VA","701"
"어서/ECD","531"
"강제/NNG","7"
"로/JKM","536"
"보/VV","1433"
"아야/ECD","44"
"되/VV","1240"
"ㅁ/ETN","326"
"참/MAG","25"
"좋/VA","814"
"아요/EFN","413"
"모든/NNP","6"
"게/NNG","8"
"잘/MAG","298"
"고/ECE","1916"
"노트/NNG","40"
"7/NR","35"
"FE/OL","5"
"았/EPT","298"
"는데/ECD","945"
"갑자기/MAG","169"
"오늘/NNG","51"
"기기/NNG","48"
"에/JKM","918"
"호환/NNG","3"
"되/XSV","280"
"지/ECD","441"
"안/MAG","1797"
"습니다/EFN","480"
"라고/JKQ","13"
"문구/NNG","5"
"가/JKS","913"
"뜨/VV","304"
"면서/ECE","69"
"아무것/NNG","9"
"도/JX","1022"
"네요/EFN","741"
"저/NP","170"
"의/JKG","229"
"거하/VV","3"
"었/EPT","940"
"다가/ECD","155"
"재/XPN","72"
"설치/NNG","88"
"려고/ECD","111"
"하/VX","18"
"니/ECD","109"
"방법/NNG","49"
"는/ETD","1235"
"것/NNB","1031"
"ㄴ가요/EFQ","107"
"?/SF","950"
"진짜/MAG","114"
"언제/MAG","49"
"고치/VV","140"
"냐/EFQ","95"
"아직/MAG","33"
"배경/NNG","163"
"검/VA","144"
"은/ETD","454"
"화면/NNG","416"
"바꾸/VV","117"
"ㄹ/ETD","901"
"꺼/NNG","15"
"임/NNG","60"
"최악/NNG","18"
"어느새/MAG","1"
"인가/NNG","2"
"부터/JX","143"
"시청/NNG","130"
"시/NNG","53"
"처음/NNG","34"
"재생/NNG","184"
"내가/NNG","33"
"어디/NP","24"
"까지/JX","113"
"더라/EFN","6"
"바르/VV","1"
"또/MAG","57"
"움직이/VV","4"
"어야/ECD","161"
"모델/NNG","5"
"명/NNG","2"
"갤럭시/NNG","99"
"10/NR","59"
"북/NNG","3"
"플렉스/NNG","16"
"전혀/MAG","12"
"얘기/NNG","7"
"이렇게/MAG","24"
"많/VA","205"
"은데/ECD","222"
"생각/NNG","59"
"을/JKO","708"
"네/EFN","154"
"때문/NNB","52"
"별/NNG","58"
"하나/NR","52"
"빨리/MAG","116"
"해결/NNG","105"
"부탁/NNG","109"
"디자인/NNG","1"
"돌리/VV","9"
"어/ECS","1390"
"내/NP","44"
"얘/UN","2"
"으니까/ECD","11"
"최신/NNG","29"
"버전/NNG","24"
"삭제/NNG","118"
"월말/NNG","1"
"이전/NNG","12"
"구/NNG","16"
"다운/NNG","41"
"받/VV","76"
"아서/ECD","136"
