"이런 예능재미있음.","이런/MDT|예능/NNG|재미/NNG|있음/NNG|./SF"
"완벽한 라이브 광영스러운 퍼포먼스 한편의 영화같은 별점을 다섯개까지밖에 못주다니 . 134340개 줘야합니다.","완벽/NNG|하/XSV|ㄴ/ETD|라이브/NNG|광영/NNG|스럽/XSA|ㄴ/ETD|퍼포먼스/NNG|한편/NNG|의/JKG|영화/NNG|같/VA|은/ETD|별점/NNG|을/JKO|다섯/NR|개/NNM|까지/JX|밖/NNG|에/JKM|못/MAG|주/VV|다니/EFN|./SF|134340/NR|개/NNM|주/VV|어야/ECD|하/VV|ㅂ니다/EFN|./SF"
"진짜 돈 아깝고 쓸모없는 어플 한번을 정상적으로 써본적이 없는듯.","진짜/MAG|돈/NNG|아깝/VA|고/ECE|쓸모없/VA|는/ETD|앱/NNG|한번/NNG|을/JKO|정상적/NNG|으로/JKM|쓰/VV|어/ECS|본적/NNG|이/JKS|없/VA|는/ETD|듯/NNB|./SF"
"하 진짜 디즈니 어플 왜이럼? 문제 진짜 많은데 자막크기.진짜작음 폰으로 봐도 작은데 티비로 땡기면 거의 안보임.","하/NNB|진짜/NNG|디즈니/NNG|앱/NNG|왜/MAG|이러/VV|ㅁ/ETN|?/SF|문제/NNG|진짜/MAG|많/VA|은데/ECD|자막/NNG|크기/NNG|./SF|진짜/MAG|작/VA|음/ETN|스마트폰/NNG|으로/JKM|보/VV|아도/ECD|작/VA|은데/ECD|티비/NNG|로/JKM|땡기/VV|면/ECE|거의/MAG|안/MAG|보임/NNG|./SF"
"아직까지 PIP지원 안한다는게 믿겨지지가않는다.","아직/MAG|까/VV|지/ECD|PIP/NNG|지원/NNG|안/MAG|하/XSV|ㄴ다는/ETD|것/NNB|이/JKS|믿기/VV|어/ECS|지지/NNG|가/JKS|안/MAG|는/EPT|다/EFN|./SF"
"계속 지웠다 깔아봐도 로그인 창이 안 떠요.","계속/MAG|지우/VV|었/EPT|다/ECS|깔/VV|아/ECD|보/VV|아도/ECD|로그인/NNG|창이/NNG|안/MAG|뜨/VV|어요/EFN|./SF"
"어떻게 해도 무한 로딩 중.","어떻/VA|게/ECD|하/VV|어도/ECD|무한/NNG|로딩/NNG|중/NNB|./SF"
"영상조작법이 불편함. 넷플릭스 반에 반도 못따라 오는 듯. 영화 한 편 가볍게 보기 위한 접속이 꺼려짐.","영상/NNG|조작법/NNG|이/JKS|불편/NNG|하/XSV|ㅁ/ETN|./SF|넷플릭스/NNG|반/NNG|에/JKM|반/NNG|도/JX|못/MAG|따르/VV|아/ECS|오/VX|는/ETD|듯/NNB|./SF|영화/NNG|한/MDN|편/NNB|가볍/VA|게/ECD|보/VV|기/ETN|위하/VV|ㄴ/ETD|접속/NNG|이/JKS|꺼리/VV|어/ECS|짐/NNG|./SF"
"배속기능 추가해줘어어어애아애애 애이 이 어.","배속/NNG|기능/NNG|추가/NNG|하/XSV|어/ECS|주/VXV|어/ECS|어/VV|어/ECD|어/VV|어/ECS|애아/NNG|애/NNG|애/NNG|애이/NNG|이/NNG|어/VV|어/ECS|./SF"
"디즈니 플러스에 이 계정으로 로그인했는데 다른계정 으로돼네요.","디즈니플러스/NNG|에/JKM|이/MDT|계정/NNG|으로/JKM|로그인/NNG|하/XSV|었/EPT|는데/ECD|다른/MDT|계정/NNG|으로/JKM|되/VV|네요/EFN|./SF"
"오류코드 83뜨네요 계속.","오류/NNG|코드/NNG|83/NR|뜨/VV|네요/EFN|계속/MAG|./SF"
