"이런/MDT","57"
"예능/NNG","4"
"재미/NNG","109"
"있음/NNG","61"
"./SF","5584"
"완벽/NNG","6"
"하/XSV","2444"
"ㄴ/ETD","1370"
"라이브/NNG","1"
"광영/NNG","1"
"스럽/XSA","36"
"퍼포먼스/NNG","1"
"한편/NNG","6"
"의/JKG","221"
"영화/NNG","253"
"같/VA","285"
"은/ETD","324"
"별점/NNG","20"
"을/JKO","636"
"다섯/NR","2"
"개/NNM","86"
"까지/JX","100"
"밖/NNG","17"
"에/JKM","1000"
"못/MAG","116"
"주/VV","49"
"다니/EFN","16"
"134340/NR","1"
"어야/ECD","199"
"하/VV","1385"
"ㅂ니다/EFN","643"
"진짜/MAG","121"
"돈/NNG","194"
"아깝/VA","47"
"고/ECE","1793"
"쓸모없/VA","1"
"는/ETD","1237"
"앱/NNG","754"
"한번/NNG","30"
"정상적/NNG","3"
"으로/JKM","380"
"쓰/VV","179"
"어/ECS","1075"
"본적/NNG","2"
"이/JKS","2067"
"없/VA","877"
"듯/NNB","96"
"하/NNB","29"
"진짜/NNG","52"
"디즈니/NNG","365"
"왜/MAG","294"
"이러/VV","47"
"ㅁ/ETN","470"
"?/SF","693"
"문제/NNG","111"
"많/VA","296"
"은데/ECD","156"
"자막/NNG","875"
"크기/NNG","100"
"작/VA","80"
"음/ETN","362"
"스마트폰/NNG","221"
"보/VV","1435"
"아도/ECD","67"
"티비/NNG","71"
"로/JKM","484"
"땡기/VV","1"
"면/ECE","542"
"거의/MAG","28"
"안/MAG","1645"
"보임/NNG","12"
"아직/MAG","90"
"까/VV","36"
"지/ECD","410"
"PIP/NNG","66"
"지원/NNG","101"
"ㄴ다는/ETD","28"
"것/NNB","1006"
"믿기/VV","2"
"지지/NNG","3"
"가/JKS","1008"
"는/EPT","7"
"다/EFN","175"
"계속/MAG","97"
"지우/VV","72"
"었/EPT","890"
"다/ECS","205"
"깔/VV","97"
"아/ECD","125"
"로그인/NNG","73"
"창이/NNG","3"
"뜨/VV","159"
"어요/EFN","616"
"어떻/VA","89"
"게/ECD","542"
"어도/ECD","164"
"무한/NNG","98"
"로딩/NNG","195"
"중/NNB","138"
"영상/NNG","230"
"조작법/NNG","3"
"불편/NNG","276"
"넷플릭스/NNG","258"
"반/NNG","7"
"도/JX","1289"
"따르/VV","15"
"아/ECS","315"
"오/VX","10"
"한/MDN","93"
"편/NNB","19"
"가볍/VA","1"
"기/ETN","305"
"위하/VV","25"
"접속/NNG","104"
"꺼리/VV","3"
"짐/NNG","25"
"배속/NNG","173"
"기능/NNG","306"
"추가/NNG","87"
"주/VXV","447"
"어/VV","44"
"어/ECD","379"
"애아/NNG","1"
"애/NNG","31"
"애이/NNG","1"
"이/NNG","17"
"디즈니플러스/NNG","171"
"이/MDT","60"
"계정/NNG","47"
"는데/ECD","784"
"다른/MDT","132"
"되/VV","1162"
"네요/EFN","759"
"오류/NNG","148"
"코드/NNG","31"
"83/NR","10"
"버퍼링/NNG","55"
"완전/NNG","24"
"심/NNG","41"
"동그라미/NNG","3"
"계속/NNG","85"
"실행/NNG","119"
"버리/VV","8"
"한번/MAG","9"
"려면/ECE","28"
"성질/NNG","2"
"남/NNG","18"
"BTS/OL","2"
"콘서트/NNG","1"
"실황/NNG","1"
"어디/NP","42"
"서/JKM","85"
"든/JX","5"
"ㄹ/ETD","1080"
"수/NNB","345"
"있/VV","738"
"어서/ECD","444"
"좋/VA","552"
"미국/NNG","16"
"군대/NNG","1"
