"아이/NNG|폰/NNG","아이폰/NNG"
"어/VV|어/ECS|플/UN","앱/NNG"
"어/VV|어/ECS|풀/NNG","앱/NNG"
"개/VV|ㄹ/ETD","갤럭시/NNG"
"로/NNG|딩/UN","로딩/NNG"
"업/NNG|뎃/UN","업데이트/NNG"
"화이/XR|팅/UN","화이팅/IC"
"애/NNG|니/JC","애니메이션/NNG"
"애/NNG|니/NP","애니메이션/NNG"
"플/UN|리/NNG|즈/UN","플리즈/IC"
"없애주세/UN|요/JX","없애/VV|주/VXV|시/EPH|어요/EFN"
"뭐죠/UN","무엇/NP|이/VCP|지요/EFN"
"4/NR|K/OL","화질/NNG"
"5.2/NR|채널/NNG","5.2채널/NNG"
"뭡/UN|니/NP|까/VV|아/ECS","무엇/NP|이/VCP|ㅂ니까/EFQ"
"이/VCP|ㄴ/ETD|셉션/UN","영화/NNG"
"베이/NNG|직/NNG","베이직/NNG"
"귀/NNG|칼/NNG","애니메이션/NNG"
"귀멸/UN|의/JKG|칼날/NNG","애니메이션/NNG"
"귀멸/UN|에/JKM|칼날/NNG","애니메이션/NNG"
"귀/NNG|멸/UN|의/JKG|칼날/NNG","애니메이션/NNG"
"렌/UN|고/VV|쿠/ECE|외전/NNG","애니메이션/NNG"
"환락/NNG|의/JKG|거리/NNG","애니메이션/NNG"
"어/VV|어/ECS|휴/UN","어휴/IC"
"에/JKM|휴/UN","어휴/IC"
"아/VV|아/ECS|휴/UN","어휴/IC"
"알/VV|니/ECD","아니/IC"
"뭐죠/UN","무엇/NNG|이/VCP|지요/ECD"
"로딩중/UN","로딩/NNG|중/NNB"
"수퍼/NNG|소/NNG|닉/UN","애니메이션/NNG"
"소/NNG|닉/UN","애니메이션/NNG"
"타이/NNG|타/VV|아/ECS|닉/UN","영화/NNG"
"블랙/NNG|클로버/NNG","영화/NNG"
"갤럭시/NNG|폴드/UN","갤럭시폴드/NNG"
"Z/OL|폴드/UN","갤럭시폴드/NNG"
"폴드/UN","갤럭시폴드/NNG"
"펜트/UN|하우스/NNG","드라마/NNG"
"로/JKM|딩/UN","로딩/NNG"
"초/NNB|딩/UN","초딩/NNG"
"기/NNG|프트/UN","기프트/NNG"
"포켓/NNG|몬스터/NNG","애니메이션/NNG"
"뮤츠/UN|의/JKG|역습/NNG","애니메이션/NNG"
"오/NNG|소마/NNG|츠/UN|상/NNG","애니메이션/NNG"
"아이/NNG|카/NNG|츠/UN","애니메이션/NNG"
"침향/NNG|여/NNG|설/NNG","애니메이션/NNG"
"도/VV|라/ECD|에몽/UN","애니메이션/NNG"
"포켓/NNG|몬/MAG","애니메이션/NNG"
"아/VV|아/ECS|따/VV|아/ECS|맘마/NNG","애니메이션/NNG"
"진구/NNG|의/JKG|달/NNG|탐사기/NNG","애니메이션/NNG"
"진구/NNG|의/JKG|아프리카/NNG|모험/NNG","애니메이션/NNG"
"베/NNG|코/NNG|와/JKM|5/NR|인의/NNG|탐험대/NNG","애니메이션/NNG"
